county,gen_dem_BIDEN,gen_dem_HARRIS,gen_grn_HAWKINS,gen_grn_HAWKINSS,gen_grn_VOTES,gen_grn_WALKER,gen_lib_COHEN,gen_lib_JORGENSE,gen_lib_JORGENSEN,gen_lib_JORGENSON,gen_lib_VOTES,gen_oth_ASSIGNED,gen_oth_BECKETT,gen_oth_BIDEN,gen_oth_BODDIE,gen_oth_BODIE,gen_oth_BUSH,gen_oth_CANDIDATE,gen_oth_CARROLL,gen_oth_CELLA,gen_oth_COHEN,gen_oth_CUELLAR,gen_oth_CUELLER,gen_oth_CUOMO,gen_oth_HARRIS,gen_oth_HAWKINS,gen_oth_HEFLING,gen_oth_HOEFLING,gen_oth_IN,gen_oth_INS,gen_oth_INVALID,gen_oth_JACKSON,gen_oth_JAIRALA,gen_oth_JORGENSEN,gen_oth_LARIVA,gen_oth_LOEB,gen_oth_LOPEZ,gen_oth_MARROW,gen_oth_MONREAL,gen_oth_MORROW,gen_oth_MUSTAINE,gen_oth_OVERVOTES,gen_oth_PATEL,gen_oth_PELTIER,gen_oth_PENCE,gen_oth_PEROT,gen_oth_PRIOR,gen_oth_RIVA,gen_oth_ROBLEDO,gen_oth_RUSSELL,gen_oth_RYAN,gen_oth_SANDERS,gen_oth_STONEHAM,gen_oth_TOTALS,gen_oth_TRUMP,gen_oth_UNCERTIFIED,gen_oth_UNDERVOTES,gen_oth_VOTES,gen_oth_W,gen_oth_WALKER,gen_oth_WELL,gen_oth_WELLS,gen_oth_WEST,gen_rep_PENCE,gen_rep_TRUMP,gen_rep_VOTES,pri_dem_BENNET,pri_dem_BENNETT,pri_dem_BIDEN,pri_dem_BLOOMBERG,pri_dem_BOOKER,pri_dem_BUTLIGIEG,pri_dem_BUTTGIEG,pri_dem_BUTTIEGIEG,pri_dem_BUTTIGIEG,pri_dem_CASTRO,pri_dem_DELANEY,pri_dem_EIDEN,pri_dem_ELY,pri_dem_EYER,pri_dem_FUENTA,pri_dem_FUENTE,pri_dem_GABARD,pri_dem_GABBARD,pri_dem_GUBBARD,pri_dem_GUERRA,pri_dem_INS,pri_dem_ISTVAN,pri_dem_KLOBUCAHR,pri_dem_KLOBUCHAR,pri_dem_KLOUBUCHAR,pri_dem_MATERN,pri_dem_OVERVOTES,pri_dem_PATRICK,pri_dem_PUENTE,pri_dem_SANDERS,pri_dem_STEYER,pri_dem_TRUMP,pri_dem_UNCOMMITTED,pri_dem_UNDERVOTE,pri_dem_UNDERVOTES,pri_dem_VOTES,pri_dem_WALSH,pri_dem_WARREN,pri_dem_WELD,pri_dem_WELLS,pri_dem_WILLIAMSON,pri_dem_YANG,pri_oth_BENNET,pri_oth_BIDEN,pri_oth_BLOOMBERG,pri_oth_BOOKER,pri_oth_BUTTIGIEG,pri_oth_CASTRO,pri_oth_DELANEY,pri_oth_ELY,pri_oth_FUENTE,pri_oth_GABBARD,pri_oth_GUERRA,pri_oth_ISTVAN,pri_oth_KLOBUCHAR,pri_oth_MATERN,pri_oth_PATRICK,pri_oth_SANDERS,pri_oth_STEYER,pri_oth_TRUMP,pri_oth_UNCOMMITTED,pri_oth_VOTES,pri_oth_WALSH,pri_oth_WARREN,pri_oth_WELD,pri_oth_WELLS,pri_oth_WILLIAMSON,pri_oth_YANG,pri_rep_COMPROMETIDO,pri_rep_ELY,pri_rep_ERN,pri_rep_FUENTE,pri_rep_GUERRA,pri_rep_GUERRERA,pri_rep_GUERRRA,pri_rep_INS,pri_rep_ISTVAN,pri_rep_ISTYAN,pri_rep_LSTVAN,pri_rep_MARTERN,pri_rep_MATEM,pri_rep_MATERN,pri_rep_OVERVOTES,pri_rep_TRUMP,pri_rep_UNCOMMITED,pri_rep_UNCOMMITTED,pri_rep_UNDERVOTE,pri_rep_UNDERVOTES,pri_rep_VOTES,pri_rep_WALSH,pri_rep_WELD,gen_total,rep_general_total,dem_general_total,rep_pri_total,dem_pri_total,rep_primary_total,dem_primary_total
Anderson,3955,0,22,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15110,0,0,0,63,36,3,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,17,6,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,286,0,9,0,0,1,2,0,19227,15110,3955,299,143,299,143
Andrews,849,0,10,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4937,0,0,0,81,33,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,84,2,0,0,0,0,0,0,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,28,0,0,0,0,0,0,0,0,6,0,2281,0,94,0,0,0,22,9,5856,4937,849,2442,231,2442,231
Angelina,9143,0,75,0,0,0,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,25076,0,10,0,1652,466,3,0,0,0,81,17,8,0,0,0,0,11,0,13,0,0,0,0,0,73,0,0,0,9,0,648,16,0,0,0,0,20,0,213,0,5,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,20,0,0,0,5,0,0,0,0,21,0,12166,0,437,0,0,60,79,59,34772,25076,9143,12870,3269,12870,3269
Aransas,0,2916,0,0,0,31,103,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,9239,0,0,0,0,504,176,0,0,0,0,67,1,0,0,0,0,0,7,0,5,0,0,0,0,0,55,0,0,0,3,0,222,3,0,0,0,0,20,0,128,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,10,0,0,0,8,0,0,0,0,2,0,3820,0,234,0,0,35,39,25,12358,9239,2916,4181,1199,4181,1199
Archer,0,446,0,0,0,4,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4300,0,24,0,0,74,31,1,0,0,0,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,8,0,0,0,0,0,28,1,0,0,0,0,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,5,0,0,0,5,0,0,0,0,3,0,2455,0,80,0,0,60,18,9,4820,4324,446,2648,172,2648,172
Armstrong,75,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1035,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,676,0,0,11,0,0,5,1,1112,1035,75,696,28,696,28
Atascosa,5876,0,58,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,12039,0,14,0,806,585,2,0,0,0,76,142,6,0,0,0,0,25,0,10,0,0,0,0,0,41,0,0,0,3,0,741,51,0,0,0,0,113,0,207,0,5,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,30,0,0,0,2,0,0,0,0,9,0,4220,0,180,0,0,35,27,14,18233,12039,5876,4522,2847,4522,2847
Austin,2951,0,33,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,29,0,0,0,0,0,0,0,0,11447,0,1,0,460,205,2,0,0,0,33,3,2,0,0,0,0,0,0,4,0,0,0,0,0,22,0,0,0,2,0,214,18,0,0,0,0,0,0,54,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,0,0,2,0,0,0,0,9,0,4662,0,142,0,0,0,22,28,14615,11447,2951,4879,1027,4879,1027
Bailey,409,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1434,0,0,0,47,15,0,0,0,0,4,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,34,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0,1,0,0,0,0,1,0,832,0,51,0,0,0,9,6,1860,1434,409,917,117,917,117
Bastrop,15474,0,128,0,0,0,0,0,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,20516,0,7,0,2371,1000,9,0,0,0,324,14,8,0,0,0,0,5,0,27,0,0,0,0,0,224,0,0,0,5,0,2280,85,0,0,0,0,56,0,1000,0,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,22,0,0,0,5,0,0,0,0,11,0,7672,0,249,0,0,83,56,61,36947,20516,15474,8173,7434,8173,7434
Baylor,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1494,0,0,0,27,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,5,2,0,0,0,0,0,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,876,0,33,0,0,0,6,2,1697,1494,183,922,65,922,65
Bell,57014,0,440,0,0,0,0,0,1980,0,0,0,0,0,1,0,0,0,32,2,0,2,0,0,0,0,0,6,0,0,315,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,67893,0,32,0,7851,2456,34,0,0,0,655,43,21,0,0,0,0,16,0,74,0,0,0,0,0,344,0,0,0,8,0,4798,76,0,0,0,0,73,0,1706,0,12,39,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,89,0,0,0,23,0,0,0,0,39,0,21480,0,869,0,0,97,151,147,128035,67893,57014,22924,18305,22924,18305
Bexar,448452,0,2798,0,0,0,0,0,8837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3227,0,0,0,0,0,0,308618,0,232,0,49552,26231,191,0,0,0,7437,3274,82,0,0,0,0,193,0,568,0,0,0,0,0,4144,0,0,0,43,0,57051,1278,0,0,0,0,1140,0,21193,0,64,99,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,397,0,0,0,63,0,0,0,0,149,0,75555,0,3089,0,0,457,635,860,773796,308618,448452,81355,173248,81355,173248
Blanco,1911,0,15,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,0,18,0,0,0,0,0,0,5443,0,1,0,375,142,0,0,0,0,65,1,0,0,0,0,0,0,0,2,0,0,0,0,0,39,0,0,0,0,0,240,10,0,0,0,0,0,0,164,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,0,0,0,0,0,0,0,0,1,0,2232,0,58,0,0,0,7,13,7495,5443,1911,2325,1040,2325,1040
Borden,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,3,0,0,0,1,0,388,372,13,240,6,240,6
Bosque,1561,0,13,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,7469,0,4,0,586,228,26,0,0,0,34,2,8,0,0,0,0,2,0,6,0,0,0,0,0,50,0,0,0,0,0,344,24,0,0,0,0,0,0,138,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,24,0,0,0,2,0,0,0,0,4,0,7306,0,214,0,0,0,40,22,9140,7469,1561,7620,1456,7620,1456
Brazoria,62228,0,0,0,0,0,0,0,1860,0,0,0,0,0,0,0,0,0,28,3,0,1,0,0,0,417,0,5,0,271,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,89876,0,68,0,8904,3138,22,0,0,0,761,21,5,0,0,0,0,30,0,102,0,0,0,0,0,489,0,0,0,4,0,5860,125,0,0,0,0,116,0,2169,0,3,10,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,171,0,0,0,33,0,0,0,0,57,0,33464,0,1282,0,0,318,454,267,154698,89876,62228,36147,21898,36147,21898
Briscoe,78,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639,0,0,0,9,5,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,470,0,25,0,0,0,9,2,725,639,78,511,34,511,34
Brooks,1470,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,998,0,18,0,289,424,3,0,0,0,41,46,10,0,0,0,0,52,0,21,0,0,0,0,0,25,0,0,0,2,0,422,10,0,0,0,0,286,0,65,0,12,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,1,0,0,3,1,0,2516,998,1470,75,1737,75,1737
Burnet,5639,0,34,0,0,0,0,0,268,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,18767,0,2,0,1028,432,2,0,0,0,119,7,8,0,0,0,0,1,0,13,0,0,0,0,0,90,0,0,0,1,0,579,22,0,0,0,0,0,0,290,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,23,0,0,0,1,0,0,0,0,3,0,6480,0,191,0,0,0,40,28,24925,18767,5639,6775,2602,6775,2602
Caldwell,6672,0,47,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8031,0,8,0,987,432,2,0,0,0,111,38,4,0,0,0,0,7,0,10,0,0,0,0,0,70,0,0,0,4,0,958,32,0,0,0,0,0,0,320,0,3,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,17,0,0,0,1,0,0,0,0,2,0,2969,0,126,0,0,0,27,18,14973,8031,6672,3169,3001,3169,3001
Calhoun,2148,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5641,0,3,0,427,159,5,0,0,0,26,5,2,0,0,0,0,3,0,6,0,0,0,0,0,15,0,0,0,0,0,191,12,0,0,0,0,0,0,71,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,1,0,0,0,0,9,0,2119,0,59,0,0,0,13,8,7856,5641,2148,2221,928,2221,928
Callahan,0,734,0,0,0,15,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6012,0,28,1,0,120,14,0,0,0,0,8,1,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,74,5,0,0,0,0,1,0,20,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,2,0,2382,0,74,0,0,15,10,7,6866,6040,734,2494,254,2494,254
Cameron,64063,0,336,0,0,0,0,0,728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1313,0,0,0,0,0,0,49032,0,286,0,7554,6402,74,0,0,0,1157,967,341,0,0,0,0,606,0,327,0,0,0,0,0,599,0,0,0,108,0,10520,256,0,0,0,0,2881,0,1960,0,75,96,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,98,0,0,0,13,0,0,0,0,40,0,7645,0,289,0,0,105,67,75,115639,49032,64063,8353,34416,8353,34416
Camp,1394,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3626,0,5,0,350,114,1,0,0,0,18,0,1,0,0,0,0,1,0,5,0,0,0,0,0,12,0,0,0,0,0,120,5,0,0,0,0,0,0,31,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,1874,0,75,0,0,0,3,3,5058,3626,1394,1965,665,1965,665
Carson,297,0,3,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2779,0,1,0,66,18,0,0,0,0,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,25,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,2,0,1422,0,25,0,0,0,5,2,3116,2779,297,1460,133,1460,133
Cass,0,0,0,0,0,0,0,0,0,0,0,0,0,2795,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11033,0,0,75,3,0,0,0,0,0,0,0,6,0,626,151,7,0,0,0,17,3,4,0,0,0,0,0,0,7,0,0,0,0,0,17,0,0,0,1,0,204,21,0,0,0,0,30,0,48,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,6,0,4381,0,80,0,0,81,16,39,14002,0,0,4619,1148,4619,1148
Chambers,3997,0,50,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,17353,0,2,0,506,185,4,0,0,0,48,0,6,0,0,0,0,0,0,4,0,0,0,0,0,33,0,0,0,0,0,342,18,0,0,0,0,19,0,96,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,20,0,0,0,0,0,0,0,0,18,0,7300,0,305,0,0,133,49,25,21704,17353,3997,7857,1272,7857,1272
Cherokee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,4210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15101,0,0,0,0,0,0,0,0,0,0,0,0,61,0,36,0,0,0,0,0,0,5,0,844,270,1,0,0,0,36,8,0,0,0,0,0,1,0,5,0,0,0,0,0,46,0,0,0,2,0,299,10,0,0,0,0,26,0,108,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,11,0,0,0,6,0,0,0,0,5,0,7547,0,221,0,0,129,31,42,19569,0,0,7999,1666,7999,1666
Clay,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,11,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5069,0,1,0,133,34,0,0,0,0,14,0,0,0,0,0,0,2,0,1,0,0,0,0,0,8,0,0,0,0,0,43,1,0,0,0,0,0,0,29,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,2,0,0,0,0,3,0,2771,0,90,0,0,0,20,21,5752,5069,614,2911,268,2911,268
Cochran,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806,0,0,0,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,397,0,18,0,0,0,3,2,996,806,176,428,32,428,32
Coke,67,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,566,0,1,0,26,14,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12,2,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,818,0,18,0,0,19,11,4,645,566,67,876,71,876,71
Coleman,451,0,9,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,3641,0,0,1,58,14,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,34,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12,0,0,0,0,0,0,0,0,5,0,2095,0,61,0,0,0,21,11,4150,3641,451,2207,139,2207,139
Collin,230945,0,1246,0,0,0,0,0,6075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,1775,0,0,2033,0,0,0,0,0,0,0,252318,0,45,0,30128,11277,74,0,0,0,4510,71,27,0,0,0,0,20,0,267,0,0,0,0,0,2133,0,0,0,18,0,25628,516,0,0,0,0,219,0,9631,0,11,31,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,193,0,0,0,50,0,0,0,0,96,0,64574,0,2726,0,0,231,484,762,494421,252318,230945,69216,84943,69216,84943
Colorado,2420,0,19,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,7472,0,9,0,432,146,7,0,0,0,36,6,9,0,0,0,0,5,0,8,0,0,0,0,0,25,0,0,0,4,0,167,12,0,0,0,0,0,0,58,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,3,0,0,0,0,6,0,3578,0,125,0,0,0,17,29,10013,7472,2420,3772,936,3772,936
